sub;short;name;lvl2;lvl1
Classic;Classic;Classical;Popular Music;Genre
Baroque;Classic;Classical;Popular Music;Genre
Chamber;Classic;Classical;Popular Music;Genre
Chant;Classic;Classical;Popular Music;Genre
Choral;Classic;Classical;Popular Music;Genre
Aria;Classic;Classical;Popular Music;Genre
Impressionist;Classic;Classical;Popular Music;Genre
Medieval;Classic;Classical;Popular Music;Genre
Minimal;Classic;Classical;Popular Music;Genre
Opera;Classic;Classical;Popular Music;Genre
Operetta;Classic;Classical;Popular Music;Genre
Orchestral;Classic;Classical;Popular Music;Genre
Renaissance;Classic;Classical;Popular Music;Genre
Romantic;Classic;Classical;Popular Music;Genre
Symphonic;Classic;Classical;Popular Music;Genre
Neo-Classical;Classic;Classical;Popular Music;Genre
Avant-garde;Classic;Classical;Popular Music;Genre
Early Music;Classic;Classical;Popular Music;Genre
Modern Composition;Classic;Classical;Popular Music;Genre
Musique Concrète;Classic;Classical;Popular Music;Genre
Twelve tone;Classic;Classical;Popular Music;Genre
Wedding;Classic;Classical;Popular Music;Genre
Boogie Woogie;Blues;Blues;Popular Music;Genre
Jump;Blues;Blues;Popular Music;Genre
Big Band;Jazz;Jazz;Popular Music;Genre
Cool;Jazz;Jazz;Popular Music;Genre
Dixieland;Jazz;Jazz;Popular Music;Genre
Fusion;Jazz;Jazz;Popular Music;Genre
Bebop;Jazz;Jazz;Popular Music;Genre
Hard-Bop;Jazz;Jazz;Popular Music;Genre
Post-Bop;Jazz;Jazz;Popular Music;Genre
Ragtime;Jazz;Jazz;Popular Music;Genre
Standards;Jazz;Jazz;Popular Music;Genre
Swing;Jazz;Jazz;Popular Music;Genre
Free;Jazz;Jazz;Popular Music;Genre
Improvisation;Jazz;Jazz;Popular Music;Genre
Gypsy;Jazz;Jazz;Popular Music;Genre
Jazz-Rock;Jazz;Jazz;Popular Music;Genre
Jazz-Funk;Jazz;Jazz;Popular Music;Genre
Britpop;Pop;Pop;Popular Music;Genre
Teen;Pop;Pop;Popular Music;Genre
Synth;Pop;Pop;Popular Music;Genre
Adult Contemporary;Pop;Pop;Popular Music;Genre
Yé-yé;Pop;Pop;Popular Music;Genre
Acid;Electro;Electronic;Popular Music;Genre
Ambient;Electro;Electronic;Popular Music;Genre
Club;Electro;Electronic;Popular Music;Genre
Industrial;Electro;Electronic;Popular Music;Genre
Downtempo;Electro;Electronic;Popular Music;Genre
Experimental;Electro;Electronic;Popular Music;Genre
